Vocab size: 8,192
Target hardware preset: NVIDIA A100-SXM4-80GB x1
MFU baseline FLOPs: 3.120e+14 (device-name:A100)
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 22,020,608
  scalars                 : 14
  total                   : 47,186,446
Estimated FLOPs per token: 1.793096e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011397 | lrm: 0.00 | dt: 14658ms | tok/sec: 8,941 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011443 | lrm: 0.00 | dt: 185ms | tok/sec: 708,592 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011493 | lrm: 0.00 | dt: 166ms | tok/sec: 791,922 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011518 | lrm: 0.00 | dt: 160ms | tok/sec: 818,885 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011563 | lrm: 0.00 | dt: 160ms | tok/sec: 817,217 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011536 | lrm: 0.00 | dt: 160ms | tok/sec: 817,947 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011520 | lrm: 0.00 | dt: 160ms | tok/sec: 817,472 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011537 | lrm: 0.00 | dt: 161ms | tok/sec: 815,508 | mfu: 46.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011534 | lrm: 0.00 | dt: 161ms | tok/sec: 815,091 | mfu: 46.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011525 | lrm: 0.00 | dt: 160ms | tok/sec: 817,676 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011518 | lrm: 0.00 | dt: 161ms | tok/sec: 813,773 | mfu: 46.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011519 | lrm: 0.00 | dt: 161ms | tok/sec: 812,763 | mfu: 46.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011509 | lrm: 0.01 | dt: 161ms | tok/sec: 815,068 | mfu: 46.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 9.011044 | lrm: 0.02 | dt: 165ms | tok/sec: 795,716 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 9.009720 | lrm: 0.03 | dt: 164ms | tok/sec: 797,530 | mfu: 45.8% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 9.007239 | lrm: 0.04 | dt: 164ms | tok/sec: 799,527 | mfu: 45.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 9.003316 | lrm: 0.05 | dt: 164ms | tok/sec: 798,980 | mfu: 45.9% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 8.997236 | lrm: 0.07 | dt: 164ms | tok/sec: 798,220 | mfu: 45.9% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 8.988571 | lrm: 0.08 | dt: 165ms | tok/sec: 796,442 | mfu: 45.8% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 8.975989 | lrm: 0.09 | dt: 166ms | tok/sec: 789,374 | mfu: 45.4% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 8.957751 | lrm: 0.10 | dt: 164ms | tok/sec: 799,240 | mfu: 45.9% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 8.930661 | lrm: 0.11 | dt: 165ms | tok/sec: 796,390 | mfu: 45.8% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 8.889801 | lrm: 0.12 | dt: 164ms | tok/sec: 799,689 | mfu: 46.0% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 8.829784 | lrm: 0.13 | dt: 164ms | tok/sec: 801,407 | mfu: 46.1% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 8.745773 | lrm: 0.14 | dt: 164ms | tok/sec: 797,253 | mfu: 45.8% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 8.638441 | lrm: 0.15 | dt: 165ms | tok/sec: 795,659 | mfu: 45.7% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 8.520856 | lrm: 0.16 | dt: 173ms | tok/sec: 758,666 | mfu: 43.6% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 8.398762 | lrm: 0.18 | dt: 163ms | tok/sec: 802,167 | mfu: 46.1% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 8.273650 | lrm: 0.19 | dt: 163ms | tok/sec: 801,885 | mfu: 46.1% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 8.137217 | lrm: 0.20 | dt: 164ms | tok/sec: 799,052 | mfu: 45.9% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 7.997032 | lrm: 0.21 | dt: 165ms | tok/sec: 794,004 | mfu: 45.6% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 7.860537 | lrm: 0.22 | dt: 166ms | tok/sec: 791,013 | mfu: 45.5% | epoch: 1 | remaining: 297s    
step 00032 (1.2%) | loss: 7.726089 | lrm: 0.23 | dt: 165ms | tok/sec: 793,742 | mfu: 45.6% | epoch: 1 | remaining: 296s    
step 00033 (1.2%) | loss: 7.596437 | lrm: 0.24 | dt: 164ms | tok/sec: 797,600 | mfu: 45.8% | epoch: 1 | remaining: 296s    
step 00034 (1.3%) | loss: 7.470171 | lrm: 0.25 | dt: 165ms | tok/sec: 796,036 | mfu: 45.7% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 7.351007 | lrm: 0.26 | dt: 165ms | tok/sec: 792,421 | mfu: 45.5% | epoch: 1 | remaining: 296s    
